               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13002,           0.0078911,            0.026884,             0.33535,             0.11893,           0.0054705,          0.00095594,             0.12994,           0.0054381,            0.019128,            0.067072,          0.00033261,          0.00033261
                   1,             0.11744,            0.008765,             0.01241,             0.49299,             0.18225,             0.10979,            0.035241,             0.10262,           0.0059275,            0.006226,             0.03407,          0.00066429,          0.00066429
                   2,             0.09743,           0.0096176,            0.006759,             0.22556,             0.17113,             0.12879,            0.037806,            0.091031,           0.0058904,           0.0062699,           0.0010669,          0.00099433,          0.00099433
                   3,            0.090921,           0.0098252,           0.0048789,             0.38404,             0.29125,             0.24153,            0.086695,            0.084119,           0.0058236,           0.0057585,          0.00099258,          0.00099258,          0.00099258
                   4,            0.086755,           0.0098645,           0.0039414,             0.49989,             0.29726,             0.28414,             0.10771,            0.080463,           0.0056222,           0.0033963,          0.00099258,          0.00099258,          0.00099258
                   5,             0.08368,           0.0097507,           0.0033168,             0.49659,             0.34718,             0.33508,             0.12919,            0.075856,           0.0054621,           0.0019247,           0.0009901,           0.0009901,           0.0009901
                   6,            0.081594,           0.0097075,           0.0029359,             0.52806,             0.35075,             0.35609,             0.13951,            0.075417,           0.0054953,           0.0028475,          0.00098763,          0.00098763,          0.00098763
                   7,            0.080074,           0.0096566,           0.0026097,             0.54487,             0.38265,             0.37618,             0.15047,            0.073105,           0.0054149,           0.0013083,          0.00098515,          0.00098515,          0.00098515
                   8,            0.078414,           0.0097288,           0.0022671,             0.54345,             0.40342,             0.39336,              0.1593,            0.072145,           0.0052606,           0.0013901,          0.00098268,          0.00098268,          0.00098268
                   9,            0.076951,           0.0094856,            0.002137,             0.52883,             0.41873,             0.41181,             0.16477,            0.071618,           0.0052525,           0.0011778,           0.0009802,           0.0009802,           0.0009802
                  10,            0.075896,            0.009542,           0.0021394,             0.54366,              0.4314,              0.4224,             0.17515,            0.070706,           0.0051375,           0.0011686,          0.00097773,          0.00097773,          0.00097773
                  11,            0.075891,           0.0094424,           0.0018661,             0.56718,              0.4484,               0.451,             0.19816,            0.068421,           0.0052217,           0.0011458,          0.00097525,          0.00097525,          0.00097525
                  12,            0.074291,           0.0095404,           0.0019116,             0.58702,             0.47442,             0.47457,             0.20979,            0.067122,           0.0051107,          0.00098668,          0.00097278,          0.00097278,          0.00097278
                  13,            0.073313,           0.0094517,           0.0016787,             0.61255,              0.4749,             0.48792,             0.22006,            0.067253,           0.0049981,          0.00090889,           0.0009703,           0.0009703,           0.0009703
                  14,            0.072604,            0.009281,           0.0016794,             0.57867,             0.46222,             0.47363,             0.21494,            0.067225,            0.004987,           0.0011766,          0.00096783,          0.00096783,          0.00096783
                  15,            0.071751,           0.0092808,           0.0015997,             0.63026,             0.49487,             0.50087,             0.22371,            0.066073,           0.0050257,          0.00098999,          0.00096535,          0.00096535,          0.00096535
                  16,            0.071095,           0.0091804,           0.0017813,             0.64548,             0.48389,             0.50136,              0.2282,            0.065397,           0.0050054,          0.00073184,          0.00096288,          0.00096288,          0.00096288
                  17,            0.070037,           0.0091506,           0.0014502,             0.63218,             0.50784,             0.51769,             0.23518,            0.064152,           0.0049052,          0.00086332,           0.0009604,           0.0009604,           0.0009604
                  18,            0.069955,           0.0091722,           0.0013706,             0.63731,             0.51503,             0.52516,             0.24376,            0.063233,           0.0048404,          0.00092071,          0.00095793,          0.00095793,          0.00095793
                  19,             0.06942,           0.0091268,           0.0015101,              0.6187,             0.52014,             0.52199,             0.24243,            0.063143,           0.0048347,          0.00082168,          0.00095545,          0.00095545,          0.00095545
                  20,            0.068608,           0.0090426,           0.0013958,             0.64312,             0.53755,             0.54198,             0.25717,            0.063137,           0.0049671,          0.00076605,          0.00095298,          0.00095298,          0.00095298
                  21,            0.068522,           0.0090232,           0.0013908,             0.66438,             0.53761,             0.55761,             0.26102,            0.061464,           0.0047365,          0.00068717,           0.0009505,           0.0009505,           0.0009505
                  22,            0.067705,           0.0089381,           0.0013257,             0.64641,             0.54631,             0.55036,             0.26125,             0.06165,           0.0047351,          0.00072967,          0.00094803,          0.00094803,          0.00094803
                  23,             0.06707,            0.008839,           0.0013911,             0.67641,             0.54821,             0.56876,             0.27101,            0.060729,           0.0046844,          0.00064037,          0.00094555,          0.00094555,          0.00094555
                  24,            0.065967,           0.0088345,            0.001281,             0.66773,             0.56206,             0.57847,             0.28048,            0.059568,           0.0046751,          0.00064167,          0.00094308,          0.00094308,          0.00094308
                  25,            0.065834,           0.0089154,           0.0011359,             0.65078,             0.57194,             0.58067,             0.28193,            0.059193,           0.0046514,          0.00068838,           0.0009406,           0.0009406,           0.0009406
                  26,            0.064936,           0.0088579,            0.001091,             0.68262,             0.56889,             0.58597,             0.27892,            0.059163,           0.0046061,          0.00060709,          0.00093813,          0.00093813,          0.00093813
                  27,            0.064757,           0.0087597,           0.0012011,             0.69257,             0.58478,             0.59837,             0.29698,            0.057936,           0.0045744,          0.00070149,          0.00093565,          0.00093565,          0.00093565
                  28,            0.065621,            0.008946,           0.0012151,             0.69148,             0.58106,             0.59871,             0.29459,            0.058446,            0.004559,          0.00076768,          0.00093317,          0.00093317,          0.00093317
                  29,            0.064117,           0.0087499,           0.0010927,             0.69561,             0.58313,             0.60133,             0.29609,            0.058194,           0.0045255,          0.00068127,           0.0009307,           0.0009307,           0.0009307
                  30,            0.064024,           0.0086979,           0.0011024,             0.71587,             0.59961,             0.62122,             0.30943,            0.057093,           0.0044652,          0.00065892,          0.00092822,          0.00092822,          0.00092822
                  31,            0.063439,           0.0087049,           0.0010448,             0.71215,             0.60885,             0.62129,             0.31135,            0.056966,           0.0044418,          0.00068729,          0.00092575,          0.00092575,          0.00092575
                  32,            0.063885,           0.0087196,           0.0010624,             0.72011,             0.60738,             0.62386,             0.32149,            0.056031,           0.0044294,           0.0005779,          0.00092327,          0.00092327,          0.00092327
                  33,            0.063358,           0.0087636,          0.00096609,             0.71882,             0.59972,             0.61912,             0.30967,            0.056635,           0.0044296,          0.00058786,           0.0009208,           0.0009208,           0.0009208
                  34,            0.061993,           0.0086462,          0.00099363,             0.70662,             0.61906,             0.62809,             0.31919,            0.055775,           0.0043474,          0.00062838,          0.00091833,          0.00091833,          0.00091833
                  35,            0.062742,           0.0086419,           0.0010492,             0.71323,             0.60611,             0.62304,             0.31818,            0.055857,           0.0044073,          0.00058049,          0.00091585,          0.00091585,          0.00091585
                  36,            0.061788,           0.0083966,          0.00093933,             0.72844,             0.61598,             0.63724,             0.32717,            0.055353,           0.0043488,          0.00053055,          0.00091337,          0.00091337,          0.00091337
                  37,            0.062253,           0.0086464,           0.0010206,             0.73164,             0.61956,             0.63757,             0.32411,             0.05512,           0.0043773,          0.00060909,           0.0009109,           0.0009109,           0.0009109
